qkey,SATIS_W86,PERSFIN_W86,SELFNAT_W86,AFROLATINO_W86,POL1JB_W86,HISPSIT_W86,RACESURV56_W86,SKINCLR_W86,F_RACECMB,F_GENDER,F_PARTYSUM_FINAL,F_EDUCCAT3,PRIMARY_LANGUAGE_W86,immgen,discrimlv
1805,2,3,4,2,1,1,2,3,1,2,9,3,3,1,7
1806,2,3,3,2,1,1,2,2,1,2,2,1,2,1,1
1817,1,2,4,2,1,2,2,1,1,1,2,1,2,1,2
1822,2,4,2,2,1,1,2,2,1,1,2,1,2,2,0
1827,1,2,4,2,1,1,2,3,5,2,2,2,3,1,0
1828,1,3,4,2,1,3,2,3,1,1,2,2,3,1,0
1830,1,2,2,2,2,1,2,5,1,3,2,3,2,2,3
1831,1,3,4,2,,2,2,3,5,2,9,3,3,1,0
1836,2,3,,2,2,2,2,2,1,2,1,3,3,,2
1841,2,4,,2,1,2,2,2,5,2,9,3,3,,1
1849,2,3,2,2,2,1,1,3,4,1,2,1,1,3,0
1850,2,3,2,2,1,2,2,2,4,1,1,3,2,2,6
1853,2,4,4,2,1,3,6,4,5,1,1,2,3,1,0
1856,1,2,,2,1,1,2,2,4,1,2,1,2,,3
1858,1,3,,2,1,3,,,1,1,9,1,3,,0
1861,1,2,2,2,1,3,1,1,1,2,1,2,1,3,0
1871,2,3,2,2,1,3,1,4,1,1,2,1,1,3,0
1874,1,3,4,2,1,3,2,2,1,1,2,1,3,1,0
1875,2,2,2,2,2,3,,6,1,1,1,1,1,3,0
1889,2,2,2,2,1,3,2,2,,2,2,1,1,3,4
1895,1,3,2,2,1,3,2,2,5,2,2,1,2,2,0
1901,2,2,2,2,2,2,8,4,1,2,1,3,1,3,0
1910,1,3,4,2,1,3,2,2,1,2,2,2,2,1,4
1912,1,2,5,2,1,3,2,1,1,2,2,2,3,1,0
1924,2,3,4,2,2,3,2,2,1,1,1,2,2,1,0
1926,2,3,,2,2,3,2,,1,1,9,2,2,,2
1930,2,2,2,1,1,1,2,1,2,2,2,1,2,2,0
1933,2,3,2,2,1,3,2,4,1,1,1,3,2,2,0
1934,2,2,2,2,2,2,2,4,1,1,1,1,1,2,7
1936,2,3,3,2,2,2,2,2,1,2,1,2,3,1,0
1939,2,4,2,1,2,3,2,2,1,1,1,3,1,3,8
1943,1,2,2,2,1,3,2,3,,2,2,1,1,2,3
1948,1,2,2,2,1,1,2,3,,2,2,1,2,2,6
1951,1,2,2,2,1,1,1,2,1,1,2,1,1,3,0
1957,1,2,2,2,1,3,2,2,1,2,1,1,1,2,0
1959,2,3,2,2,2,3,2,1,1,2,1,2,1,3,0
1963,1,2,3,2,1,2,3,3,4,1,2,2,2,1,1
1966,2,3,2,2,1,3,1,2,1,1,2,2,2,3,0
1968,1,3,,2,1,2,2,4,5,2,2,1,3,,1
1971,1,3,,1,1,2,7,2,1,2,9,3,2,,8
1972,1,2,1,1,1,3,2,5,5,1,2,2,3,3,4
1976,1,2,2,2,1,3,2,3,1,2,1,1,1,3,1
1977,2,2,4,2,2,2,2,1,1,1,1,1,2,1,0
1989,2,3,,2,1,1,2,2,1,2,2,2,3,,0
1993,1,3,4,2,1,3,2,2,5,2,2,3,3,1,
1998,2,2,2,2,2,2,2,4,1,1,1,2,1,3,0
2000,2,4,5,2,2,3,2,,1,1,1,2,3,1,0
2012,1,2,5,2,1,2,2,1,1,2,2,3,3,1,2
2019,2,2,2,2,2,2,1,2,1,2,1,1,1,3,0
2024,2,3,3,2,2,2,1,1,1,2,1,2,2,1,0
2029,1,3,2,2,1,3,2,3,1,2,2,3,3,2,0
2032,2,3,4,2,1,3,2,4,5,1,9,3,3,1,1
2033,2,3,2,2,1,3,2,4,5,1,2,1,1,2,0
2042,2,3,2,2,2,3,1,1,5,2,1,1,1,2,0
2048,2,2,2,2,1,3,1,1,1,2,2,2,1,3,0
2050,1,3,4,2,1,3,2,4,1,2,2,3,3,1,0
2052,1,1,2,2,1,2,2,3,1,2,2,1,1,2,0
2067,1,3,2,2,1,1,2,2,1,2,2,3,2,2,1
2071,1,2,4,2,1,2,2,1,1,1,2,1,3,1,0
2073,1,2,1,1,1,2,1,5,1,2,1,2,2,3,8
2076,2,3,3,2,1,2,2,5,5,,2,2,3,1,0
2077,1,1,1,2,1,1,2,5,5,2,1,2,3,3,0
2079,1,2,2,2,1,3,2,3,5,2,2,2,2,3,0
2081,1,3,2,1,1,1,2,2,1,2,2,2,2,2,0
2082,2,2,2,2,2,3,2,2,1,1,1,1,1,3,0
2087,2,1,,2,2,3,2,1,1,2,1,3,3,,0
2091,1,3,3,1,1,3,2,2,1,2,2,3,3,1,2
2099,2,3,4,2,2,1,1,1,1,2,1,2,2,1,0
2101,2,2,2,2,2,2,1,1,1,2,1,1,1,3,0
2103,2,3,4,2,1,3,2,2,1,2,2,2,2,1,1
2104,2,3,,2,1,3,2,3,1,2,9,2,3,,
2110,2,3,4,2,1,3,2,5,5,1,2,2,3,1,0
2112,2,3,2,2,1,3,2,3,,2,2,1,2,2,0
2113,,2,2,2,1,3,1,1,1,1,9,2,1,3,0
2114,2,2,4,2,2,1,2,3,1,1,1,1,3,1,1
2122,1,3,2,2,1,1,2,2,1,2,2,2,1,3,1
2124,1,3,4,2,1,1,2,4,4,1,2,1,2,1,1
2128,2,2,2,2,2,3,2,2,2,1,1,1,1,2,0
2129,1,2,4,2,1,1,1,1,1,2,2,1,3,1,0
2130,2,3,4,2,1,1,2,3,4,2,9,3,3,1,0
2131,1,3,2,2,1,1,2,4,1,1,1,2,3,2,0
2135,1,3,1,2,,2,2,2,5,2,1,2,2,3,0
2139,1,3,4,2,1,1,2,2,5,2,2,3,3,1,0
2141,1,2,4,2,1,1,2,2,1,2,2,1,3,1,0
2143,2,3,2,2,,3,2,5,5,1,1,2,1,3,0
2147,2,2,4,2,2,3,2,2,5,1,1,2,1,1,0
2149,1,3,2,2,1,1,2,4,5,1,2,2,1,2,3
2151,2,3,2,2,2,1,2,1,1,2,1,1,1,2,1
2156,1,2,2,2,1,2,2,4,1,1,2,2,1,3,3
2159,2,3,2,2,2,1,1,2,1,2,1,1,2,3,0
2163,1,2,2,2,2,3,5,3,1,1,1,1,1,3,0
2166,2,1,2,2,1,2,6,3,5,2,2,1,1,3,0
2171,1,2,3,2,1,1,2,2,1,2,1,2,3,1,0
2172,1,2,3,2,1,2,2,2,1,2,2,1,2,1,4
2178,2,3,4,2,1,2,1,1,1,2,2,1,2,1,1
2183,1,3,4,2,1,3,2,5,1,2,2,3,3,1,1
2185,1,3,2,2,1,2,2,4,5,2,2,3,3,2,0
2186,1,2,2,2,1,3,1,1,1,1,2,2,1,2,0
2188,2,3,4,2,1,2,1,3,1,1,2,1,2,1,4
2190,2,3,3,2,1,2,2,3,1,1,2,3,3,1,0
2191,1,3,2,2,1,2,2,2,1,3,9,2,2,98,1
2195,2,3,4,2,2,3,2,2,1,2,1,3,3,1,0
2196,1,3,4,2,1,3,2,4,1,2,2,1,2,1,0
2201,2,3,3,2,2,3,2,1,1,1,1,1,2,1,1
2202,2,4,4,2,2,2,2,2,5,2,1,2,2,1,1
2204,2,2,4,2,2,2,2,3,1,2,1,1,2,1,0
2205,2,2,2,2,2,3,2,5,4,2,1,1,1,3,5
2206,1,2,4,2,1,1,2,1,1,1,2,1,3,1,2
2207,1,2,4,2,1,3,2,2,,1,2,1,2,1,7
2213,2,3,2,2,1,1,1,2,1,1,2,1,1,3,2
2215,2,4,4,2,1,2,2,4,5,2,2,3,3,1,5
2217,,3,2,2,,,8,3,5,1,9,3,1,3,
2219,2,2,2,2,1,3,2,3,1,2,2,2,1,2,2
2223,1,2,4,2,1,3,2,1,4,1,2,3,3,1,0
2227,1,3,3,2,1,2,2,4,5,2,2,3,3,1,7
2228,2,2,4,2,2,3,7,2,1,2,1,1,2,1,1
2229,1,3,5,2,1,1,2,1,1,2,2,2,3,1,0
2230,1,2,2,2,,3,2,3,,2,1,1,2,2,1
2232,1,2,2,2,2,2,2,6,5,1,1,1,1,3,0
2234,1,2,4,2,1,3,2,2,1,1,2,2,2,1,0
2235,2,2,2,2,2,3,2,3,1,1,1,3,3,3,0
2236,2,1,2,1,2,2,7,2,5,2,9,2,2,3,5
2238,1,3,4,2,1,3,2,3,5,1,2,2,3,1,3
2243,2,4,2,2,2,3,2,1,1,2,1,3,1,3,0
2249,2,3,2,2,1,2,2,2,1,2,1,2,1,2,8
2250,1,2,3,2,1,3,2,3,1,2,2,1,3,1,0
2253,2,2,2,2,2,1,2,3,4,1,1,1,1,2,1
2255,1,3,4,2,,3,2,4,1,2,9,1,2,1,0
2258,2,2,2,2,2,3,2,1,1,1,1,2,1,3,0
2261,2,2,2,2,2,3,2,4,1,2,1,1,1,2,0
2263,1,4,,2,1,1,2,2,1,2,9,3,3,,
2267,1,3,4,2,1,2,2,2,1,2,2,3,3,1,0
2268,1,4,3,2,1,3,2,3,5,2,2,1,3,1,2
2269,1,3,4,2,1,3,2,2,1,2,2,3,3,1,4
2272,1,2,,2,1,1,2,3,1,2,2,1,2,,1
2281,2,4,4,2,2,3,2,2,1,2,2,3,3,1,0
2284,1,3,4,1,1,2,2,1,1,2,2,2,2,1,8
2285,2,2,2,2,1,3,2,5,5,2,2,2,1,3,1
2287,1,2,2,2,1,1,1,1,1,2,2,1,2,2,0
2295,2,3,5,2,2,2,2,1,1,1,1,2,3,1,0
2300,2,3,2,2,1,3,7,5,1,2,2,2,2,3,7
2301,2,2,1,2,2,3,2,1,1,1,1,2,2,3,0
2307,1,3,4,2,2,3,2,2,5,1,2,2,3,1,3
2308,1,2,2,2,1,1,2,5,5,2,2,1,2,2,0
2312,2,4,2,2,1,3,2,5,5,1,2,3,1,2,0
2314,1,2,2,2,1,2,2,5,1,1,2,1,1,3,7
2316,2,3,3,2,1,2,2,6,5,1,2,2,3,1,2
2321,1,3,1,2,1,3,2,3,1,2,2,2,3,3,1
2325,1,2,4,2,2,3,2,4,5,1,9,1,3,1,0
2327,2,4,4,2,2,2,2,2,1,1,2,1,3,1,1
2330,1,3,2,2,1,1,2,7,4,2,2,1,2,2,1
2338,2,4,4,2,1,2,2,5,5,1,2,2,3,1,1
2339,2,4,2,2,1,3,1,1,1,2,2,1,1,3,0
2341,1,1,2,2,1,2,1,1,1,1,2,1,1,3,0
2342,2,4,3,1,1,3,2,3,5,1,2,2,2,1,1
2347,1,1,4,1,1,1,1,3,1,1,2,1,1,1,1
2349,1,3,,2,1,3,1,1,1,1,1,3,3,,1
2350,2,3,1,1,1,3,2,4,5,2,9,2,2,3,0
2351,2,2,2,2,2,3,2,4,1,1,1,1,2,3,0
2352,1,3,1,2,1,3,2,4,,1,1,2,2,3,0
2353,1,2,4,2,1,1,2,6,4,1,1,2,1,1,0
2358,1,4,5,1,1,3,2,1,1,2,2,2,3,1,0
2359,1,3,4,2,1,3,2,4,5,2,1,3,3,1,0
2360,1,3,2,2,1,2,2,3,4,1,1,1,1,2,6
2361,1,3,,2,1,3,2,,1,2,9,3,2,,0
2369,1,3,4,2,1,3,2,2,1,2,2,3,3,1,1
2371,1,2,4,1,1,2,1,1,1,2,2,3,2,1,0
2374,1,2,4,1,2,1,2,8,1,2,1,3,3,1,0
2386,1,1,4,2,,2,2,2,5,2,2,1,2,1,6
2390,1,1,2,2,1,1,1,1,1,1,2,1,2,3,0
2395,1,2,4,2,1,3,2,3,5,1,1,1,1,1,0
2397,2,3,1,2,1,3,2,3,1,2,2,2,2,3,0
2400,1,4,1,1,1,2,2,1,1,1,2,3,2,3,2
2402,1,3,4,2,1,3,2,2,5,2,2,2,3,1,7
2404,1,2,2,2,1,3,1,2,1,2,2,1,1,2,0
2408,1,3,4,2,1,1,2,1,5,2,2,2,3,1,0
2409,2,3,4,2,1,3,2,2,4,2,2,3,1,1,0
2412,1,2,3,2,1,3,2,2,1,2,9,1,3,1,0
2415,1,1,3,2,1,1,2,1,5,1,2,3,2,1,0
2416,1,2,2,2,1,3,2,2,1,2,2,2,1,3,3
2418,2,3,,2,1,2,2,1,1,2,2,1,3,,3
2420,2,3,4,2,1,1,2,2,1,2,2,3,3,1,0
2422,2,4,2,2,1,2,2,3,5,1,9,1,2,3,1
2424,2,4,,2,2,2,,2,1,2,9,2,3,,4
2429,1,2,2,2,1,1,1,2,4,1,2,1,1,3,1
2437,2,4,2,2,1,1,2,3,4,2,2,3,2,2,2
2441,1,2,5,2,1,1,1,1,1,2,1,2,3,1,5
2442,2,4,1,2,1,3,2,3,1,1,2,3,2,3,1
2447,2,2,2,2,2,3,2,4,1,1,1,1,1,3,0
2449,1,3,,2,1,2,2,3,,2,2,3,3,,0
2451,2,2,2,2,2,3,2,5,1,1,1,1,1,3,
2457,1,2,4,2,1,2,2,4,,2,2,3,3,1,3
2461,2,3,2,2,2,3,2,1,1,1,1,1,2,2,0
2462,1,2,3,2,1,2,2,2,5,2,2,3,3,1,0
2471,2,3,2,2,2,3,1,4,5,2,1,2,1,3,0
2473,2,,2,2,,3,2,1,1,1,1,2,1,3,0
2474,2,3,2,2,1,3,2,2,1,1,2,1,2,2,2
2481,1,3,4,2,1,3,5,,,2,2,3,2,1,0
2487,2,3,4,2,2,1,2,2,1,2,1,1,1,1,2
2488,1,2,4,2,1,1,1,2,1,1,2,1,2,1,1
2489,1,2,1,2,1,3,1,1,1,1,2,3,2,3,2
2500,2,2,4,2,1,3,1,2,1,2,2,1,2,1,1
2503,2,3,2,2,2,,2,2,1,1,2,3,1,3,6
2504,1,2,4,2,1,3,2,1,1,2,2,2,3,1,0
2507,1,3,4,2,1,3,2,5,1,2,2,2,3,1,1
2510,2,3,4,2,1,3,2,1,4,1,2,1,2,1,2
2511,1,2,4,2,1,3,2,2,1,2,2,3,3,1,3
2513,2,4,3,2,1,2,2,3,1,1,2,1,2,1,2
2517,2,1,2,2,1,3,1,1,1,2,2,2,1,2,0
2519,1,1,2,2,1,2,2,3,1,1,2,1,1,3,1
2521,2,2,4,2,1,1,8,1,1,2,9,1,3,1,2
2524,2,2,2,2,2,2,1,2,1,2,2,1,1,3,0
2528,2,3,4,2,1,2,4,7,5,1,2,1,2,1,7
2531,1,3,3,2,1,2,2,1,5,2,2,1,3,1,0
2532,2,4,4,2,1,1,1,1,1,2,2,3,3,1,2
2539,1,1,3,2,1,1,2,1,1,2,1,1,2,1,0
2542,2,3,4,2,1,3,4,1,4,2,2,3,3,1,2
2543,1,2,4,2,1,3,1,,1,2,2,3,3,1,0
2547,2,3,1,1,1,1,2,4,5,2,2,2,3,3,3
2549,1,2,4,2,1,3,2,3,1,2,2,2,3,1,0
2553,1,4,2,2,1,3,2,3,,1,2,1,2,2,2
2556,1,3,4,1,1,2,2,,5,1,9,3,3,1,0
2558,1,3,2,2,1,3,2,3,1,2,2,1,1,2,0
2560,,3,2,2,,3,2,,5,2,2,2,2,3,3
2564,2,4,2,2,2,1,2,3,1,2,1,2,1,3,1
2565,1,3,4,2,1,1,2,5,5,2,2,3,3,1,1
2568,1,2,4,2,1,3,2,5,1,1,2,1,2,1,0
2570,1,4,4,2,1,1,2,1,1,1,2,3,3,1,2
2572,2,2,3,2,1,2,2,4,5,1,2,1,2,1,4
2573,1,1,2,2,1,2,2,3,1,1,2,1,1,3,0
2574,1,3,1,2,1,3,2,4,1,1,2,2,3,3,0
2577,2,4,3,2,1,3,2,2,1,1,2,3,3,1,5
2578,2,3,2,2,2,3,2,3,1,2,9,2,1,3,0
2581,2,2,,2,1,2,2,2,1,2,2,3,3,,0
2582,1,3,2,2,1,1,1,1,4,2,2,3,1,3,0
2583,2,3,4,2,1,3,1,1,1,2,2,1,1,1,5
2586,1,3,4,2,1,1,2,6,1,2,2,1,2,1,6
2591,1,3,4,2,2,3,1,1,1,1,9,2,2,1,2
2597,2,4,4,2,1,2,2,3,1,2,1,2,3,1,8
2600,1,2,4,2,1,3,2,2,1,1,2,3,3,1,3
2601,2,3,,2,1,2,2,3,1,2,2,2,3,,1
2616,2,2,4,2,1,3,2,2,1,2,2,2,3,1,0
2619,2,3,2,2,2,3,2,3,5,2,2,2,1,2,0
2621,1,3,4,2,1,1,2,4,1,2,2,1,3,1,0
2624,2,3,,2,1,2,2,3,1,2,2,2,2,,2
2625,1,3,4,2,,1,2,4,5,1,9,1,3,1,0
2630,2,2,4,1,1,1,2,2,5,2,9,3,2,1,0
2634,1,3,3,2,1,2,2,2,5,2,2,2,3,1,3
2635,1,1,2,1,1,1,1,7,1,2,9,3,3,3,7
2637,1,3,,2,1,1,2,3,,2,9,2,2,,3
2644,,3,4,2,,,2,2,1,2,9,1,3,1,1
2646,1,2,3,2,1,2,2,2,1,2,2,2,3,1,3
2648,1,3,3,1,1,2,2,3,5,2,2,2,2,1,5
2649,1,3,4,2,1,3,4,3,5,1,2,3,3,1,0
2650,1,3,,1,1,3,2,4,1,1,2,1,3,,0
2652,1,3,1,1,1,2,1,1,1,2,2,2,3,3,0
2661,1,3,4,2,,2,2,1,1,2,2,3,3,1,0
2662,1,2,4,2,1,1,2,3,1,1,2,1,2,1,1
2663,2,4,4,2,2,3,2,5,5,1,2,2,2,1,8
2668,2,3,2,2,1,3,2,5,1,2,1,3,1,3,0
2669,2,2,2,2,2,3,2,3,5,2,2,1,1,2,6
2677,1,3,,2,1,3,1,1,1,2,1,2,3,,2
2678,1,2,3,1,1,2,2,6,5,1,2,2,2,1,0
2679,2,1,2,2,1,2,2,4,1,2,2,2,2,3,2
2681,2,3,,2,,2,1,,1,1,9,2,2,,1
2689,1,2,3,2,1,3,2,4,1,2,2,2,3,1,0
2690,1,3,2,2,1,3,2,4,1,1,2,1,1,3,0
2691,2,2,4,2,1,2,2,3,1,2,2,3,2,1,2
2701,1,3,4,2,1,3,2,2,1,2,2,3,3,1,1
2702,2,2,3,2,1,2,8,5,5,2,2,3,3,1,0
2704,1,3,3,2,1,1,2,1,1,2,2,1,3,1,5
2711,2,2,2,2,2,,2,3,5,1,1,2,1,3,0
2723,1,3,4,2,1,1,2,1,1,2,2,2,3,1,3
2729,1,3,2,2,1,1,2,2,1,2,2,2,2,2,1
2733,2,3,2,2,2,1,2,5,1,1,9,1,1,2,1
2740,1,3,4,2,1,3,2,3,1,2,1,3,3,1,0
2744,2,2,2,2,2,3,2,1,1,2,1,1,1,3,0
2748,1,3,4,2,1,1,2,4,1,2,2,3,3,1,0
2756,2,3,2,2,1,2,4,3,4,1,1,1,1,3,2
2758,2,3,4,2,1,3,2,2,1,1,2,2,3,1,2
2759,2,2,2,2,1,3,4,3,1,2,2,3,2,2,0
2769,1,2,4,2,1,3,2,4,5,1,2,2,3,1,0
2773,2,3,4,2,1,2,1,1,1,2,2,2,2,1,4
2776,1,3,3,2,1,3,2,2,1,1,9,2,3,1,
2778,2,4,3,2,1,3,2,4,5,2,2,2,3,1,
2780,1,3,4,2,1,3,2,4,1,2,2,2,2,1,3
2788,2,2,2,2,2,3,1,2,5,2,1,2,1,3,0
2792,1,3,4,2,1,3,2,2,5,2,1,2,3,1,0
2794,1,4,4,2,1,3,1,2,1,1,2,2,3,1,4
2795,2,4,2,2,1,3,1,2,5,2,1,2,2,3,2
2796,2,3,4,2,1,3,2,3,5,2,2,1,2,1,0
2803,2,3,4,2,1,3,2,2,,2,1,1,3,1,2
2804,2,2,3,2,1,3,2,1,,2,2,1,3,1,6
2806,2,4,2,1,2,3,2,1,5,2,1,2,3,2,0
2811,1,3,5,2,1,2,1,1,1,2,2,2,3,1,0
2812,1,2,3,2,1,1,1,,1,1,1,3,3,1,0
2820,1,3,3,2,1,2,2,1,4,1,2,2,3,1,5
2823,2,4,2,2,1,3,2,3,1,2,1,1,2,2,3
2824,2,4,2,2,1,2,2,,5,2,2,2,2,3,2
2827,1,2,1,1,1,1,2,2,1,2,2,3,2,3,0
2830,1,2,5,2,1,3,2,1,1,1,2,2,3,1,0
2831,1,3,3,2,1,2,,5,,2,2,2,3,1,7
2832,1,3,3,2,,3,2,3,5,2,1,2,3,1,0
2833,2,2,2,2,2,3,2,4,1,1,1,1,1,3,0
2836,1,3,4,2,1,2,2,4,1,2,2,2,3,1,2
2837,1,2,3,2,1,3,7,3,5,2,2,2,3,1,0
2841,2,2,4,2,1,1,2,2,1,2,2,1,3,1,0
2842,1,3,3,2,1,1,1,1,1,1,2,3,3,1,0
2843,1,3,4,2,1,1,2,,1,3,2,3,2,1,1
2844,,3,4,2,1,2,2,3,5,2,2,3,3,1,0
2847,1,3,4,2,1,3,2,3,1,1,2,1,2,1,7
2848,1,3,4,2,1,2,2,,1,2,2,2,3,1,0
2849,2,3,4,2,,3,1,3,,2,9,3,3,1,0
2852,2,3,4,2,1,2,2,4,1,2,2,2,3,1,4
2854,1,3,3,2,1,3,2,2,1,2,2,3,3,1,1
2859,2,2,2,2,2,1,2,2,5,1,1,2,1,2,0
2862,1,3,3,1,1,2,2,2,5,1,2,2,2,1,0
2865,2,2,3,2,2,3,1,1,1,2,1,2,1,1,0
2869,2,3,1,2,1,3,2,,5,2,2,2,3,3,1
2876,2,3,2,2,1,3,1,1,1,1,2,2,1,3,0
2877,1,2,4,2,1,2,2,3,1,2,2,3,3,1,0
2885,1,3,3,2,1,3,2,2,5,2,2,2,3,1,0
2892,1,3,4,2,1,3,,2,1,2,9,2,3,1,0
2893,1,3,4,2,,2,2,3,5,1,1,2,3,1,5
2896,1,2,2,2,1,2,2,3,1,1,2,1,1,2,3
2913,1,1,2,2,1,1,1,1,1,1,2,1,2,3,4
2915,1,2,2,2,1,1,2,2,1,2,2,1,2,2,0
2916,1,4,4,2,1,1,2,1,1,2,2,2,3,1,0
2918,2,4,3,2,1,3,2,1,1,1,2,1,2,1,0
2920,1,3,2,2,1,3,2,3,1,1,2,2,2,2,0
2921,1,3,4,2,,3,2,1,1,2,9,2,3,1,0
2922,1,1,4,2,1,3,2,1,1,1,2,3,3,1,0
2924,2,2,2,2,1,1,2,2,5,1,2,1,2,3,4
2928,2,3,4,2,1,2,2,2,5,1,1,1,3,1,0
2934,2,2,2,2,2,2,2,4,1,1,2,2,2,2,2
2935,2,2,2,2,2,3,2,2,5,2,1,1,2,2,0
2936,2,3,3,2,2,3,2,10,5,1,1,1,1,1,3
2938,2,3,3,2,,1,2,2,1,2,9,1,3,1,7
2939,1,3,2,2,1,3,2,4,1,1,1,1,2,2,4
2940,1,3,4,2,1,1,2,2,1,2,2,2,3,1,5
2949,1,3,2,2,1,3,2,3,4,2,9,1,2,2,2
2954,2,3,2,2,2,2,1,3,1,2,1,1,1,3,0
2957,2,3,4,2,1,2,2,4,5,1,2,1,2,1,2
2963,1,3,4,2,1,3,2,2,1,2,9,3,3,1,4
2971,2,4,2,1,1,2,7,4,4,1,2,2,1,3,0
2972,1,2,4,2,1,3,2,3,1,1,2,3,3,1,0
2974,1,2,4,2,1,1,1,2,1,1,2,1,2,1,7
2976,2,3,4,2,2,3,2,2,1,1,1,1,2,1,1
2997,2,4,2,2,1,3,1,1,1,2,9,3,3,2,5
3023,1,2,2,2,1,3,,5,1,2,2,2,2,98,0
3031,2,3,2,2,1,2,2,6,5,2,2,1,1,2,0
3036,1,2,4,2,1,3,2,3,1,2,2,2,3,1,1
3047,1,3,2,2,1,1,2,5,1,2,2,3,3,2,0
3048,1,1,2,2,1,1,2,3,1,1,2,1,2,2,0
3049,2,3,2,2,1,3,2,3,5,1,2,1,1,2,2
3057,2,3,3,2,1,2,2,2,1,2,9,3,3,1,3
3061,2,2,4,2,1,2,2,2,1,2,1,1,3,1,2
3063,1,4,2,2,1,3,2,1,1,2,2,1,3,2,2
3064,2,4,4,2,1,2,2,,4,2,1,1,2,1,0
3067,2,2,2,2,2,1,2,4,5,2,1,2,2,2,2
3068,1,3,4,2,1,3,2,2,1,2,2,3,3,1,5
3070,1,3,4,1,1,1,2,4,5,2,2,3,3,1,2
3075,1,3,4,1,1,3,2,5,,2,2,2,3,1,0
3076,2,2,1,1,1,2,2,3,1,2,1,2,3,3,3
3080,1,1,4,1,1,1,3,2,1,1,2,2,2,1,0
3081,1,2,4,2,1,3,2,7,5,1,2,2,3,1,3
3086,1,2,2,2,1,1,1,1,1,1,2,1,1,2,0
3088,2,2,3,2,2,1,1,2,1,1,1,2,1,1,0
3089,1,3,3,2,1,1,2,2,5,2,9,3,3,1,0
3098,2,4,4,2,1,3,2,4,5,1,2,2,3,1,4
3102,,3,4,2,,,2,3,1,2,9,3,2,1,0
3106,1,3,4,2,,3,2,5,5,1,9,1,3,1,7
3107,2,3,3,2,1,3,2,6,5,1,2,3,3,1,0
3109,2,3,3,2,2,2,2,5,5,1,1,1,2,1,0
3112,1,4,4,,1,3,2,2,,2,2,3,3,1,6
3113,1,2,2,2,1,3,1,2,1,1,2,1,1,3,0
3114,2,3,4,2,1,1,2,3,1,2,2,1,3,1,1
3118,1,3,3,2,1,2,2,1,1,2,2,1,2,1,3
3121,1,3,2,2,1,3,2,4,1,2,2,1,2,2,0
3124,1,2,2,2,1,1,4,1,1,1,2,1,2,3,7
3127,2,4,2,,1,3,,,1,,9,2,2,98,
3129,1,3,4,2,1,1,2,4,1,2,2,3,2,1,0
3135,2,4,2,2,1,3,2,,1,2,2,2,1,3,1
3136,2,3,1,1,1,3,2,3,5,2,2,2,3,3,1
3138,1,3,3,1,1,2,2,5,5,2,2,3,3,1,
3141,2,2,2,2,2,2,1,1,1,2,2,1,2,2,4
3142,1,2,4,2,1,1,2,5,1,1,2,1,3,1,0
3154,2,2,4,2,1,3,2,2,1,1,2,2,2,1,3
3158,1,4,3,2,1,3,2,3,5,1,2,3,3,1,0
3160,1,2,4,2,1,1,2,3,5,1,2,1,3,1,1
3161,2,3,4,2,2,2,2,4,1,2,1,1,3,1,4
3163,2,3,3,2,2,3,2,1,1,1,1,1,2,1,3
3164,2,3,4,2,1,3,2,3,1,2,2,3,3,1,
3168,1,2,2,2,1,1,2,1,1,1,2,1,2,2,0
3173,1,3,4,2,1,3,2,4,5,1,2,3,3,1,3
3175,2,3,4,2,1,3,1,2,1,1,2,3,3,1,0
3177,1,3,3,1,1,1,2,4,5,1,2,3,3,1,6
3179,1,3,2,2,1,2,2,3,1,2,2,2,2,2,1
3181,2,3,2,2,1,2,1,2,1,2,2,1,1,98,0
3188,1,3,,2,1,1,2,,1,2,9,3,3,,2
3191,2,4,4,2,1,3,2,3,1,2,2,3,3,1,6
3192,2,4,4,2,2,2,2,3,1,2,1,3,2,1,0
3194,1,4,3,2,1,3,2,4,1,2,2,3,3,1,1
3200,1,3,2,2,1,3,2,3,1,2,2,1,2,2,0
3202,1,4,4,2,1,2,2,2,1,2,2,2,3,1,7
3205,1,3,3,2,1,3,7,3,5,1,2,3,2,1,0
3207,1,2,4,2,1,1,2,2,1,1,2,3,3,1,3
3209,1,3,4,2,1,2,2,,,1,2,2,3,1,5
3213,1,2,4,2,1,1,2,6,5,2,1,1,1,1,6
3221,1,1,2,1,1,3,2,2,2,2,2,2,3,2,0
3222,1,2,2,2,2,3,2,2,,1,1,2,1,2,0
3223,1,1,2,2,1,3,2,3,1,2,1,1,1,3,2
3233,1,,2,2,1,3,2,2,1,2,1,1,2,2,0
3235,1,2,2,2,1,1,2,3,5,1,2,1,2,3,4
3238,1,3,4,2,1,2,2,3,1,2,2,3,3,1,6
3241,1,1,4,2,1,1,2,6,1,1,2,2,3,1,0
3243,2,3,4,,1,1,2,2,5,1,2,3,3,1,4
3249,,4,4,2,1,3,2,2,1,2,2,3,3,1,7
3251,1,3,,2,1,3,2,2,5,2,2,3,3,,2
3252,1,2,4,2,1,3,1,1,1,2,2,1,2,1,2
3253,1,3,4,2,1,2,2,1,1,2,1,1,3,1,0
3269,1,3,4,2,1,1,2,1,5,1,2,3,2,1,0
3271,2,3,2,2,1,2,7,6,5,2,2,1,1,2,4
3276,1,3,4,2,1,3,2,4,5,2,9,2,3,1,5
